,리뷰
296,"안녕하세요 상록우성 탄천뷰 궁금해서 여쭤봅니다.
321동 324동 320동 이렇게 탄천뷰가 있는건지요~?
이사 가고싶네요!! ㅋㅋ"
297,4년살았네요 정자역 및 생활에 필요한 시설은 전부 도보가능합니다. 인프라가 최고의 장점인 곳입니다. 단점은 주차.. 늦으면 지하주차장 이용은 불가하고 평행주차를 해야합니다. 오래된 나무가 우거져 산책하긴 좋으나 새가 많아서 새똥이..
298,여기는 리모데링이나 재건축 안하나요?
299,여기는 실외기 외부에 설치해도 되나요? 별도의 제재가 있는지 궁금합니다~
300,"살기 좋은 상록우성. 정자역 신분당선, 느티마을부터 연결되는 숲길은 쵝오! 가다오다 만나는 분들도 여유있고 좋네요."
301,20년 넘게 거주중인데 살면서 불편한점이 없네요
302,"주변에서는 그래도 관리잘되는 아파트이지만
너무오래되었음"
303,버스  지하철  교통이 모두 좋고 단지내 산책로가 있어  사계절을모두 느낄수 있으며 조용한 단지  입니다
304,"불편함 없이 생활하기 좋은곳 같아요 
특히 스타벅스가 바로 앞에 있어서 좋아요"
305,층간소음 진짜 대박입니다.. 1년째 거주중인데 교통이고 입지고 다떠나서 시끄러워 못살겠네요ㅠ 윗집을 잘못만나서 그런거겠지요.. 윗집 잘만나신분들 부럽습니다.
306,우성아파트단지 중앙에 있는 보행자도로 입니다 .이런 풍경을  사계절 즐길수있어요.
307,우리집 전망이  4계절 아름답습니다
308,303동 305동 큰 도로에 접해있던데 소음은 어떤가요? 중층 이상은 괜찮나요?
309,"25년 거주해도 전혀 불편한 점없이 살고 있습니다. 동마다 약간의 차이는 있지만 교통편리하고 여러 노선 갖추엇으면서도 자동차소리 안들리고 조용한  희한한 청정지역입니다
어린이 공원  보행자도로 탄천의 물놀이장 불곡산등을 모두이용하며 아이들도 착하게 잘 자랏답니다"
310,"40평대는 주차못하는 사람들 이기적인 사람들 많아서
주차장 아비규환..
오히려 30평대 빡빡한 공간에는 칼주차 잘들 함."
311,상록우성 10년 보유 하면세 세 놓고 있는데 한번도 공실이 있었던 적이 없네요. 이정도면 우량주죠.
312,"역세권 카페거리 학교가깝고 학원가깝고 내부관리가 잘됨
산책로가 있어서 편함"
313,학교 학원도 가깝고 지하철도 가까워 좋은것 같습니다
314,"동네가 운동하기에도너무좋고
특히 가을에 길이너무예쁩니다
서울 어느곳이나 교통편도 괜찮고요 살면서 정이많이가는집이네요"
315,산책로가 너무 좋아요 조용하고 지하철도 가깝고 학군도 좋고 학원도 좋고
316,"상록우성으로 이사 예정이에요..
초등 중학생 아이들이 있는데 학원가가 잘 형성되어있는지 궁금하네요.
보통 어느쪽으로 학원을 보내시나요?"
317,"위치가 좋습니다.

신분당선과 분당선이 모두 있어서 서울가기좋아요"
318,"뒤로 가면 회사도 가깝고, 정동마트도 가까워서 장보기도 좋습니다

주차 공간은 조금 힘드네요 ㅜ"
319,"단지내 동마다 조금씩 다르겠지만, 저는 후문쪽에서 살고 있고 지하철역 가까운게 제일 좋습니다. 다만, 근처에 편의시설은 없는 편이에요. 탄천 건너도 그렇고 5-10분은 걸어가야 있습니다. 특히 편의점이 항상 아쉽네요.

초중학교가 근처에 있는건 좋습니다. 탄천도 가까워서 종종 산책하기 좋구요 (춥고 덥고 비오고 미세먼지 탓에 자주는 안나게되는건 어쩔수 없습니다)"
320,"정자역 가깝고 학군 좋고 편의시설, 피트니스, 마트, 병원 등등 가깝고 살기 편해요. 다들 오래사신 분들이라 서로 엘레베이터에서 만나면 인사하고 주민들 수준도 높은 것같아요"
321,"장점 : 1. 정자역 인접 느티제외 탄천을 끼고있는 유일한 대단지. 향후 리모델링이나 재건축시 이런 입지와 대단지의 가치는 더 빛을 발할것이라고 판단됨(대단지의 특권 커뮤니티 센터등)
2. 상록우성과 느티마을 중앙을 잇는 가로공원의 조경은 최고라고 자부함. 봄여름가을겨울 사계절의 다른매력을 갖고있으며 여름에는 무성한 녹음이 햇빛을 가려 시원하기까지함
3. 단지의 앞쪽동들은 탄천을 바라볼수있고 정자역에 가깝다는 이점이 있으며 뒷쪽단지들은 광역버스 마을버스 이용이 쉽고 주변상가들(스세권 버세권 및 병원학원들)이 너무 잘되어있어 모자랄것이 없는 단지
4. 정자역 두산사옥 네이버2사옥등 대기업들의 입주시 상록우서에서 도보로 출퇴근 가능하다는점!

단점 : 용적률이 나쁘나 대지지분은 많고 가치측면에서 극복가능할것으로 판단됨."
322,단지가 크고 조용해서 좋아요 ㅎ 나무도 많아서 여름에 단지내 산책로를 지나갈때는 숲같은 느낌도 들고 좋아요 ㅎ 정자역은 동에 따라 다르겠지만 도보로 10분이내로 갈수 있어요
323,"역과도 가깝고 버스도 이용하기 편해요
산책로도 너무 이쁘고 강남이나 강북가기도 편합니다"
324,다리 하나 건너면 공기부터 틀리다 숲세권이라 할 수 있을 듯
325,이번에 매수했는데 얼른 이사 가고싶어요~
326,"단점> 오래됨, 주차장 협소
장점> 교통, 학원가, 스세권, 정자동 카페거리 식당가 도보 이용가능, 스포츠센터, 정자동 발전에 따른 투자가치 등등"
327,투자하기 되게 좋은 아파트.. 특히 미래를 생각한다면
328,"오래되었지만 단지가 잘가꿔짐
정자역과 도보 5-10분
병원, 스포츠센터, 음식점, 스타벅스, 버거킹,은행 다 가까움
마을버스 상시 운행
나무가 울창함
단열이 잘되서 난방 조금만 틀어도 따뜻함
학군 및 학원
탄천과 가까움
서울대병원 인접"
329,"역 가깝고 너무 쾌적합니다
신분당선도 좋구요^^"
330,"애들데리고  향후 1에서2년 내 이사를 생각중인데
초 6학년에 이사가도 단지내 중학교에 배정이 되나요?"
331,강남가기 좋죠. 생활 하기에도 좋아요.
332,초등학교 저학년 아이들 정자역 학원갈때 걸아가나요? 셔틀 타나요??? 아시는 분 알려주세요....ㅠ
333,초.중품고있어 아이학교보내기 안전하고 가운데 가로수길 너무 좋고 교통도 편리하고 정말 살기좋은곳이네요.
334,황금입지..상우 정말 살고싶네요. 신축이 아무리 대세라지만 살아보면 입지만큼 중요한게 없는거같습니다.
335,"살기 너무 좋아요!! 교통도 단지 앞뒤로 광역버스, 신분당선, 분당선 다 있고, 특히 303동 앞에 정자역가는 마을버스도 2개 다 지나가서 걷기 싫을 땐 마을버스 타면 금방이구요. 303동 옆에 쪽문 있어서 버스타러 갈때, 스벅, 버거킹, 병원, 식당 가기 너무 편해요."
336,오래된 것 빼곤 단점이 없는 집입니다
337,"더블역세권으로 교통 좋아요
단지내 유치원,초등,중등까지 있어 아이 키우기 좋고 학원가가 가까워요
단지내 산책로가 예뻐요"
338,"정자역 주변 시설 이용하기에 탁월한 아파트입니다

시설이 오래된 주변 아파트단지보다는 관리도 잘 되어 있는 것 같습니다."
339,아파트가 노후하고 주차장이 협소한것 빼면 사는데는 전혀 문제되지 않습니다. 정자역과 버스노선도 집앞에 많고 먹자골목도 길만 건너면 바로라서 생활하기에는 진짜 최강이에요.
340,정자동 우성아파트 너무 살기 좋아요 학군도 좋고 교통도 편리하고 ㅎㅎ 303동은 특히 바로 뒤 스벅이 있어서 완전 스벅권입니다 ㅎㅎ
341,"동향이지만 앞이 트여있고
4계절을 느낄수 있어서 좋았네요

사진은 분당 카톡방에서 옮겨와서
몇호라인 인지는 모르겠어요

정자동 살때가 그리워서 글 남겨봅니다~"
342,"정말 좋아요. 정자역, 수내역 이용, 아이들 학원"
343,"단지가 오래되다 보니 장단점 모두 오래된 단지에서 나올 수 있는 이야기 입니다. 

장점
- 단지내 유치원,초등학교,중학교 (차위험 없음)
- 탄천옆, 지하철인근 뛰어난 입지
- 아파트, 마을로 이어지는 뛰어난 조경
- 조용함

단점
- 세대로 이어지지 않는 지하주차장
- 가끔 발생할 수 있는 보수"
344,"단지내 유치원 초등학교 중학교까지 아이들키우기정말 좋은곳입니다
교통편하고 사계절을 느낄수있는 단지내 산책로 굿!"
345,"희언유치원 신기초 정자중을 끼고 있어 아이 키우기 좋아요.
주변 산책로와 탄천수연장도 있어서 좋아요."
346,도로 인접은 소음이 심해서 베렌다 문도 못엽니다.
347,주변환경좋고 상권접근성좋고 정자역더블역세권이고 장점이 많습니다.
348,조용한단지임. 탄천근처 동이라면 대형마트가 가깝지 않아 아쉬움
349,"27평, 321동 주변으로 이사를 계획중인데요. 궁금한 점이 있습니다.

1. 동별로 주차가 다르다고 하던데, 주차는 어떤지 궁금합니다. 
밤10시쯤 귀가하게 되는데 2중주차가 필수인지 궁급합니다. (지금 사는 곳이 2중주차가 그냥 공식화되어있어서요ㅜ)
무조건 지하주차장에는 넣지 않아도 됩니다. 주차폭은 혹시 SUV(산타페)정도 대는 것에 무리는 없는지
2. 어린이집은 혹시 추천해주실만한 곳이 있을까요? 이사갈때쯤에 17개월정도 됩니다."
350,중간 산책로가 나무가 우거져 걷기 좋습니다. 탄천도 가깝고 인근 편의 시설이 좋네요.
351,"동네가 조용하고 지하철도 가깝고 좋으나 밤에는 너무 어두워요, 가로등이 몇개 없네요.."
352,"역에서 가깝고 아이들 키우기 좋아요
단점은 아파트가 구축이라 집안 리모델링 안하면 추워요"
353,숲같이 나무가많아 마음이 편안해지고 역세권이라 교통 상권이용이 편리합니다
354,참 살기 편한 아파트네요. 몇년전에 우연히 이사와서 만족도 높은 삶을 살고있네요. 배우자랑 각각 강남역과 여의도가 회사인데 출퇴근이 편합니다. 정문쪽에서 버스타고 앉아갈 수 있어서 좋아요. 다음이나 다다음 정거장부터는 무조건 서서 가네요.
355,첫분양후 25년째 살고 있는데 인테리어 싹다하니 새아파트 안부럽습니다 교육 자연환경  교통 뭐하나  빠지는거 없는 살기 좋은 곳입니다
356,"전철역 가깝고 탄천 산책 좋아요. 
전철역부터 후문 진입까지 편의점 없다는 거 은근히 불편."
357,"아늑하고 나무가 울창한 단지죠. 역에서 가까운 단지라 5분이면 전철역까지 가고, 공기 좋고 다 만족이었네요."
358,산책로 좋고 정자역 가까워 정말 좋아요... 탄천에 주복 거리 참 주옥 같죠... 행복한 기억만 있어... 강남에서 다시 이주 예정입니다.
359,"안타깝게도 직장 때문에 다른 데로 이사했지만, 정자동에서 30평대 이상 일반 아파트를 찾는다면 최고의 입지라고 생각합니다. 규모 있는 단지이고 단지 관리도 잘 됐어요. 특히 38평과 47평 인테리어된 집은 구조나 실제 면적 면에서 신축 부럽지 않습니다. 동 위치는 사실 크게 중요하진 않습니다. 후문은 정자역, 탄천 가까워서 좋고, 정문은 상가시설나 버스 노선이 훨씬 많습니다."
360,"좋은점 
분리수거 아무때나 
26평은 후문쪽에 있어 역 가까움 
단지내 산책 
유치원과 학교 가까움 

단점 
주차
나무가 많아 벌레가 많음 
베란다가 많음 -리모델링시 해결 
용적률이 높음"
361,"정자역 가기도 가깝고, 아파트도 조용하고
숲길도 좋아서 살기 너무 좋아요"
362,305동 거주자로서 최고 장점으로 꼽는건 스세권입니다. 스타벅스 세권이죠. 맨발로도 가도 될 거리. 오밤중 샤워 후 잠시 서재가듯 머리 젖은 채로 책읽으러도 가네요.
363,"실거래가 안 올라오네요 26평 최근 거래가 9.8억 이엿어요 
구매 계획 있으신 분들은 참고하세요~"
364,"용적율때문에 재건축은 힘들어도 리모는 하겠죠?
입주자대표회의에서 리모얘기는 안나오나요??"
365,정자역도 가깝고 탄천뷰가 참 좋았던 것 같네요
366,"지하철 가까운 편이고 유치원, 초등학교 가까워서 좋은것같습니다. 아이가 아직 어리지만 초등 학원은 정자역에 많다고 하니 장점일듯합니다. 제가 거주하는 동은 주차장 자체는 부족하지 않은데 칸이 좁습니다. 관리사무소가 나름 아파트 관리를 열심히 하는것 같고 직원들 모두 친절하시네요."
367,"집이 오래되서 수리 필수
소형평수의 경우 생각보다 역이 멀어 불편할 수 있으나 버스가 다양함
주변 인프라는 좋은 편임"
368,주차가 1가구 몇대인가요? 추가금액 내면 2대가능한지..
369,"후문으론 정자역(분당선,신분당선) 광역버스, 정문으로도 다양한 노선의 광역버스, 시내버스가 다녀 어지간한 서울보다 교통이 좋다 자부합니다. 
서울이 직장임에도 분당을 포기하지 못하고 정자동을 떠나지 못하는 이유.
그 중 정자동 대장 상록우성의 위치는 단연 최고.

요즘같이 하늘이 예쁜 날 바로 앞 탄천을 벗삼아 거닐다보면 힐링이란게 따로 없이 마음이 행복해지며,관리가 잘되어 단지 내 산책로의 우거진 나무들도 멋집니다. 후에 아파트의 개발을 하게 된다면.. 이 멋진 나무들 어떻게 될지 벌써 걱정입니다.

근처에 사우나, 휘트니스, kt스포츠센터 등 다양하게 있어 도보로 수영 등 다양한 운동을 즐기며 삽니다.
분당도서관, 네이버도서관 등 도서관도 기분따라 골라 갈 수 있는 것도 장점입니다.

단지 앞, 옆 상가에 스타벅스 포함한 카페, 프렌차이즈 버거, 병원, 은행, 마트, 식당 등 맛집들이 있어 도보로 모든 편의 시설 누립니다.
정자동 카페거리도 물론.

아파트가 오래되었음에도 이 장점을 버릴 수 없기에 한번 정착하면 쉽게 떠나지 못하는 것 같습니다."
370,분당의 탄천과 단지들이 서로 연결된 걷기 좋은 녹지 공원 그리고 편리한 대중교통까지 정말 삶이 풍요로워지는 곳 입니다.
371,"단지 나 나무 길이 너무 멋져요. 
마트 가깝고 지하철역도 가까워서 좋아요."
372,"아파트가 25년 되서 좀 낡은거 빼고
나머지 정말 다 만족합니다

분위기 교통 인프라 등등 다 좋아요
1년 반째 거주중입니다."
373,"살기 너무 편해요.  단지는 분위기있게 조용하고, 교통 너무 좋아요."
374,단지 내 산책로가 숲이 울창해서 아주 멋집니다. 탄천도 가깝고 정자역도 걸어갈만합니다. 마을버스도 자주 옵니다. 단지 안에 정동마트가 있어서 쇼핑도 편리합니다.
375,"주차장이 불편하고.. 단지내 굴곡진 도로 때문에 키작은 아이들이 전방주시에도 잘 보이지 않을수 있다. 그런 점 빼고...

앞으로 탄천... 탄천 수영장...
단지 내 큰 나무들로 둘러쌓인 긴 산책로와 곳곳의 놀이터...  정자역... 살기 좋은 곳."
376,"32평 살다가 동판교로 이사가면서 2년간 살면서 느낀 장단점을 정리하랴고합니다.
[장점]
1. 정자역과 가깝다.
2. 옛날 아파트 치고 관리가 잘 되어있다.
3. 분리수거 편하고 32평은 거실과 안방이 크게 잘 빠졌다.
[단점]
1. 노후 된 아파트 답게 겨울에 춥다.
(샤시를 새걸로 갈지 않았다면 비추)
2. 위와 연관되어 난방비가 많이 든다.
3. 입구 현관이 비밀번호가 아닌 카드가 아니면 무조건 경비실을 호출해야한다.
4. 주차난이 심각하며, (주차 공간이 좁아 문콕이 ㅠㅠ) 30평대는 차량 2대 있을경우 관리비가 2만원 3대의 경우 5만원이 추가된다.
5. 느티마을(리모델링 이주수요) 때문인지 전세가 매매가가 서판교만큼 비싸다.
나름 정붙이고 살다가 갑니다."
377,"동영상 임장기 잘되어있는 것 공유합니다
****"
378,"상록우성 입지 최고에요

308동 중간층 38평 베란다 확장한 집을 보니 넓고 좋았습니다

초품아, 중품아, 단지내 유치원도 있고
도보거리에 영유, 학원가 등이 있어서 아이 키우기도 매우 좋아요

큰 평수 쪽 동인데 주차도 괜찮습니다

두산, 현대중공업, 네이버2 등 기업 입주가 다가오고 있어서 그러는지 요즘 매매가, 전세가가 같이 오르고 있네요"
379,"아파트 살기는 좋은데, 가격이 너무 비싸져버려서 평생 벌어도 매수 못하겠어요."
380,"교통최고의지역. 버스도 정자역이나 아파트단지 근처로 많이 다니고 무엇보나 마을버스 출퇴근시간 엄청다녀 환승이용하면 정자역 1분 생활권입니다.
오래살았지만 조용하고 녹지도 많고 최고입니다"
381,"정자역, 탄천 가깝고
초,중 인근에 있어 애들 키우기 좋아요"
382,"세대당 주차 1.2대인가요?
네이버는 1.5대라 되어 있는데

주차 저녁 몇시부터 힘든가요?
단지내 주차 못하는 경우도 있나요?"
383,"조용하고 숲이 많아서 주말엔 힐링 하기 좋습니다.
주변 카페가 많고 초 역세권으로 서울 나들이도 편해요"
384,"단지내 숲길 좋고, 정자역 가까워서 출퇴근 편해요. 초중품아에 학부모 젠틀하시고, 아이들 순하고 주민들 좋으셔요. 대형 평형에 살아서인지 주차난 없어요. 학원들도 가깝고 웬만한 곳 다 셔틀오고 실거주로 이만한 곳이 있나 싶네요."
385,"상록 소형에서 거주한지 4달되었네요
매수할때 큰걸로 살껄하는 후회가 밀려옵니다
하여 궁금한게 평형별로 로얄동이 궁금하네요

31평 남향 313동이 311동보다 비싸던데 313동이 많이 찾나요?
그럼 46평 남향으로 314동 315동 316동이 로얄동으로 보면되는지? 궁금하네요"
386,역 가깝고 동네 안전하고 깨끗하고 아이나 동물키우기 너무 좋고 주차 카페 식당 탄천 뭐 하나 빠지는게 없어요
387,"장점은 잘 알려졌으니 단점 위주(실 거주 10년 이상)

- 주차공간 부족, 주차선 크기 작음
- cctv 장비 구식이고 관리사무소에서 나서지도 않기 때문에 문콕 등 차량으로 문제 발생 시 100% 본인 블랙박스로만 해결 해야 함( or 민사 )
- 엘베 구식이라 낡고 좁으며 깔끔하지 않음
- 관리사무소 직원 대부분 불친절(일부 소수만 보통 수준으로 친절)
- 여름철 매미 소리 난리남(나무도 많아서 매미 집중 서식지임... 여름밤에 문 열지 못함)"
388,"솔직히 주거환경은정말 최고입니다
집안은 따뜻하고 화장실 물 잘빠지고 뽀송뽀송한게 정말맘에들어요"
389,지하철 가깝고 탄천 바로 옆이라 주거환경은 최고입니다
390,탄천과 가깝고 까페거리도 가까워 살기 너무 좋은곳
391,혹시 주차는 어떠신가요?? 밤 10시 이후로 집에 올 일이 많은데요. 그 시간대 주차가 어떨지 궁금합니다.
392,교통이 편리하고 탄천 가까워 운동하기 좋습니다.
393,"단지 내 녹지 조성이 잘되어있고, 제가 살았던 동 기준으로 버스정류장이 가까워서 좋습니다.
정자역까지도 도보 10분 내로 이동 가능해서 대중교통 선택지가 다양하구요.
전에 간혹 녹물이 나오긴 했지만 상수도관 교체공사도 진행하는 등, 관리가 잘 되고있는 단지입니다.
아무래도 구축단지 특성상 주차공간이 다소 부족한 감이 있지만 최근 입주민들과 관리실에서 적극적으로 주차부분의 단속을 진행하는 것으로 알고있습니다. 
부모님과 살다가 최근 결혼으로 인해 분가했는데, 돈만 있다면 다시 살고싶은 곳입니다.
아, 녹지조성이 너무 잘되어있어서 간혹 지상에 주차하면 새똥테러가 있을수도 있는 점이 단점이라면 단점이군요^^;"
394,"구축이지만 관리가 매우 잘되어 잘 유지되고 있다는
느낌이 듭니다. 주변에 편의시설이 많고 없는 게 없습니다. 단지가 워낙 커 동 위치에 따라 편차가 좀 있습니다."
395,"정자동 아파트 중에서 최고의 입지 및 주거환경이라고 생각해요 지하철 가깝고 단지가 커서 관리가 잘 되고 있고요
단지 자체는 오래되어서 내부 올수리하고 들어오실 것 권장합니다 특히 윗층에 샷시가 오래된 샷시이면 벽에 물이 세어들어서 천정에 곰팡이 생길 수 있어요 잘 보고 들어오세요"
396,아파트 간격이 넓고 나무가 우거져서 좋아요. 아직까지는 주차가 많이 어렵지는 않아요.
397,정자역도 도보가능하고 버스노선도 잘 되어 있어 편하게 지냈었습니다. 층간소음은 있지만 그건 오래된 아파트는 다 있는것같네요. 나무도 많고 조용해서 산기좋은 아파트였어요
398,오래된것 빼고는 살기 참 좋습니다.
399,"하수도 배관이나 난방 인, 아웃 배관 누수로 아랫집에 물 새거나 하는 집들이 많나요?

오래된 아파트라 배관들은 교체들 많이 하는지 궁금"
400,"좋은점 ;  분당선.신분당선. 트램까지 들어서면 트리플 역세권/ 광역버스/ 단지내 유치원2,초등,중등학교-횡단보도 건널 일이 없어 엄마들 교통지도봉사도안함/ 휴양림 수준의 조경 / 1700세대 이상 대단지 /  단지 앞 탄천수변공원.물놀이장 / 정자동 유명 학원가 / 근린생활시설단지와 가까워 마트.병원.은행. 외식. 카페 도보 10분안에 해결 / 판교현대백화점. 롯데백화점.Ak백화점 1~2정거장

단점 ; 구축이다. 주차장 연결 안돼 불편. 일부 동 주차난."
401,정자역 초역세권 아파트라 교통편리 살기 편해요
402,"지금은 리모델링에 대한 얘기가 없더라도 결국 90년대 지어진 분당아파트들은 재건축이나 리모델링으로 가닥을 잡을것입니다.
상록우성은 정자동 시세를 끌어가는 랜드마크 아파트이며 입지가 좋으므로 결국 시간의 문제인것입니다.
투자가치나 가성비로 따지자면 리모델링 진행중인 아파튼가 우세해보이나 그아파트들의 상승세를 업고 더 높은 가치를 인정받을 입지를 자랑합니다."
403,교통과 시설 생각했을때 정자역 최고라고 생각해요
404,"저는 정자동 상록 우성아파트 거주중인 입주민이에요
저희동네는 장점이 너무 넘쳐나는곳이라 무엇먼저 써야할지 모르겠네요~
일단,,교통,, 버스역과 지하철역 둘다 아파트에서 도보6분내 이동가능한 지역에 있구요
신분당선이용시 양재강남역 15~17분소요되구요
분당선이용시 압구정동 45분소요
광역버스이용시 강북상권50분내외소요되세요
버스이용시는 배차간격중요한데 10분내외간격이고 다양한 버스가 운행중이라 골라타실수도 있다는점 너무 장점이네요~
솔직히 목적지가 어디든 신분당선 분당선 광역버스를 이용하면 못갈곳이 없죠,,, 
자차이용시는 경부고속도로 내곡자동차전용도로 수서간도로접근성 용이/ 뿐 아니라 광명인천으로 향하는 고속도로접근도 용이해서 안양 광명 인천도"
405,20평대 동향 탄천뷰 좋아서 신혼 또는 3가족 이라면 추천합니다. 단지내 어린이집 평 좋은편이고 희언유치원. 신기초 끼고있고..탄천가까워 산책하기도 좋고..한솔살다 이사왔는데 주차 나쁘지 않습니다. 단지내 상가는 좀 아쉽네요ㅎㅎ(구성이나 시설면?). 도보로 한솔. 라이프쪽 상가 이용 불편하진 않습니다
406,"분당 대표 대장주 아파트로 관리 철저! 교통 & 편의시설 우수, 정자동 유치원 & 학원 이용 우수!"
407,"단지 관리가 잘되고 있고, 동네가 조용하다.
정자역뿐만아니라 서울로 가는 광역버스가 많아 교통이 편리하다. 카페거리를 걸어서 갈 수 있고, 탄천은 산책하기 좋다. 다시 가서 살고 싶다."
408,정문쪽은 스포츠센터와 마트가 있어 살기 편합니다. 다만 정자역이 조금 멀지만 내리막길이므로 걸어 가는게 어렵지는 않아요  약 10분정도 걸릴듯. 나중에 트램이 신기 사거리쪽으로 들어온다는점도 장점일 듯 해요. 다른 지역과 달리 정자역쪽은 상업/유흥지역이 주택지역과 탄천으로 나뉘어져 있어 구분이 되어 있는 점도 장점입니다.
409,"정자역 가깝고 분당 지나가는 빨간버스, 파란버스 다 단지 앞 지나갈 정도로 교통 편해요.
탄천도 가깝지만 단지 내 산책로도 잘 되어있어요.
확실히 어른들이 많이 사시는 것 같아요"
410,일단 주차공간이 너무 부족하고 엘레베이터가 정말 작아요   하지만 단지가 커서 장점이 많아요
411,지하철 정자역에서 도보로 다닐만 합니다. 집은 오래되었지만 주차도 부족하진 않은편이네요.
412,"305동은 정자역에서 생각보다는 멀어요. 걸어서 10분정도? 게다가 언덕이라서 여름엔 마을버스를 가끔 탑니다;; 
그래도 단지가 잘 정비가 되어있고 관리가 되어서 살기엔 좋은 것 같아요."
413,"26평형, 구조가 맘에 들었어요.
쓰임있고 상당히 넓습니다.
화장실 하나인건(옛날건물이라) 단점.
남향 동에 살았는데, 여름에 평균 2~3도는
낮지 않나..할 만큼 시원합니다.
아파트 위치도 좋고,
새 건물이면 나무랄데가 없을텐데요..."
414,26평 살고 있는데 지하철 가깝고 정자역 상권이용하기 좋고 탄천에 산책나가고... 위치가 너무 좋습니다. 주차 공간도 모자라지 않는거 같구요. 유일한 단점이 오래되었다는건데 이건 리모델링을 해도 실내는 좋지만 지하주차장 연결이나 이런 부분이 아쉽네요. 언젠가 재건축이든 리모델링이든 진행되기를 기대합니다~
415,"주차는 힘들지만 살기좋은 아파트, 분당아파트 연식은 어차피 다들 오래됐지만 동간간격넓고 단지내 나무도 많고 근처 탄천 산책 용이 대중교통편리함"
416,노후 아파트라기엔 관리가 너무 잘되있고 이단지를 떠나지 못하고 23년째 살고 있습니다 아이들 초중고 모두 도보 10분이내에 있으며 교통은 말할나위 없이 최고 단지입니다
417,"20년이 좀안되게 살은 사람인데 ,
지금은 자식들 사정때문에 다른곳에 살고 있지만,
모든 조건이 다 갖춰진 상록우성 흠잡을때라곤
년수가 좀있어서 아쉽지만 관리가 잘되어서 녹물이나오거나, 주차도 넓은평수는 공간이 남고,  다른동입주자도 사용이 가능합니다.
장점을 다 열거 할수가 없는 단지 지요?
항상그리운  곳이랍니다,
316동에 살았어요~~"
418,"단지가 오래되서 수목 많고 탄천 바로 옆이면서 번화하지 않아서 여유도 있고 좋아요.
탄천뷰로 살았었는데 건너편 주상복합 야경까지 합해서 뷰도 너무 좋았구요.
학교들도 다 근처에 있고 여름엔 바로 정자동 물놀이장 가까워서 좋아요."
419,"녹물나오는것빼고는 다좋습니다
지하철도 걸어서 3분"
420,곧 입주하는데 녹물이나 이런 컨디션들 어떤가요?
421,작은집은 신혼부부가 살기에 딱 좋았던곳
422,탄천과 정자역 접근성이 가장 좋은 아파트. 후문쪽은 마트가 먼게 단점
423,탄천이 근처라서 아이랑 같이 산책하기 좋고 교통은 두말할것 없이 너무 좋죠^^ 실거주로 너무 좋은 아파트입니다
424,"단지내 유치원,초등학교,중 고등학교 도보가능으로
학군우수,정자역,신분당선역세권 가능,아이
키우고 교통편리하여 최고예요!"
425,"정자역 가깝고, 강남역 나가는 버스 자주다니고. 분당에서 여의도 가는 유일한 버스도 단지 정문쪽으로 다니네요. 이래저래 참 살기좋은 아파트에요."
426,"탄천이 바로 앞에있어서 산책하고 운동하기 너무좋아요.
광역버스를 정문쪽과 정자역쪽 양쪽 다 이용할수있어서 왠만한 서울도심에 다 갈수있어요"
427,질문드립니다 1-2년안에 46평으로들어가려하는데 로얄동(탄천뷰?)이 몇동일까요?
428,"교통 최고 학군 최고 정자역과 버스 정류장이 가까워 강남 과 서울 시내 금방 갑니다 
또한 sk c앤c 네이버 두산사옥 금융결제원 등등 회사들이 많고 근처 아파트 리모델링 진행중이어서 
굉장히 잠재력이 강합니다
너무 좋습니다"
